GS,BB,RBI,R,HR,InnOuts,ADJ Salary,ADJ Salary Group
67.0,22,20.0,12,0,1698.0,1310892,1
76.0,29,25.0,15,3,2097.0,1503316,1
27.0,18,21.0,16,3,814.0,1924245,1
124.0,44,72.0,58,17,3299.0,601326,0
125.0,50,89.0,61,27,3196.0,3607960,1
130.0,56,39.0,51,5,3425.0,1094414,1
113.0,37,61.0,52,8,3009.0,1864112,1
161.0,90,111.0,118,37,4264.0,3908623,1
113.0,51,35.0,30,3,3041.0,1483273,1
50.0,23,13.0,22,3,1325.0,288636,0
130.0,20,58.0,54,5,3466.0,1803980,1
90.0,40,43.0,62,15,2459.0,1924245,1
71.0,20,14.0,25,2,1757.0,1154547,1
113.0,50,52.0,54,12,3024.0,1232719,1
61.0,37,36.0,35,7,1494.0,901990,0
62.0,46,18.0,31,11,1469.0,1162564,1
112.0,39,48.0,69,9,2946.0,1743847,1
121.0,53,68.0,59,23,3139.0,2621784,1
154.0,84,124.0,111,31,4096.0,3542581,1
4.0,5,6.0,1,0,97.0,821813,0
88.0,10,48.0,55,18,2404.0,309081,0
161.0,67,110.0,116,26,4282.0,1924245,1
53.0,44,43.0,36,15,1541.0,1342962,1
7.0,28,50.0,43,17,165.0,144318,0
43.0,7,27.0,28,7,1265.0,312689,0
83.0,48,81.0,72,28,2239.0,291042,0
79.0,18,64.0,50,23,1962.0,2200855,1
150.0,56,56.0,59,5,4007.0,655446,0
160.0,96,78.0,107,8,4252.0,2405306,1
162.0,30,110.0,89,16,4321.0,1797966,1
20.0,53,74.0,71,16,454.0,1563449,1
152.0,114,78.0,110,29,4021.0,1924245,1
129.0,50,80.0,66,18,3468.0,1148533,1
83.0,12,21.0,33,2,2227.0,312689,0
82.0,25,34.0,40,6,2199.0,805777,0
2.0,1,0.0,4,0,102.0,300663,0
2.0,5,9.0,5,0,90.0,661459,0
36.0,2,3.0,3,1,1020.0,625379,0
36.0,15,15.0,20,1,1020.0,625379,0
130.0,51,103.0,85,27,3401.0,1874279,1
13.0,4,2.0,4,0,392.0,781724,0
92.0,34,42.0,54,8,2469.0,877936,0
137.0,37,55.0,37,5,3646.0,2123885,1
109.0,64,39.0,69,2,2967.0,2104643,1
111.0,47,78.0,50,20,2877.0,2645837,1
118.0,78,85.0,80,20,3046.0,1944288,1
131.0,81,53.0,74,13,3507.0,1683714,1
76.0,18,25.0,23,2,1983.0,1772711,1
76.0,4,6.0,5,2,1983.0,1772711,1
81.0,78,85.0,64,27,1873.0,2546964,1
65.0,57,67.0,66,21,1805.0,938069,0
118.0,62,32.0,67,1,3164.0,300663,0
132.0,35,41.0,50,8,3565.0,288636,0
4.0,15,12.0,14,2,111.0,312689,0
53.0,16,13.0,16,4,1509.0,641415,0
158.0,42,113.0,86,22,4193.0,1623582,1
74.0,32,15.0,28,0,1942.0,2988191,1
120.0,52,107.0,85,37,3205.0,1647635,1
86.0,35,31.0,38,2,2252.0,396875,0
131.0,12,33.0,71,1,3608.0,144318,0
2.0,29,20.0,9,2,74.0,360796,0
28.0,12,4.0,5,0,769.0,481061,0
55.0,31,58.0,51,26,1256.0,721592,0
95.0,27,36.0,62,4,2551.0,1358998,1
48.0,8,9.0,14,0,1216.0,801768,0
48.0,6,11.0,14,1,1216.0,801768,0
86.0,12,45.0,39,10,2339.0,781724,0
146.0,44,92.0,77,24,3934.0,469034,0
30.0,20,27.0,25,7,861.0,517140,0
138.0,58,63.0,64,22,3556.0,3487694,1
129.0,48,58.0,47,17,3372.0,1322918,1
112.0,40,21.0,63,1,2937.0,977155,0
144.0,64,75.0,58,21,3817.0,1924245,1
16.0,7,22.0,10,3,443.0,745645,0
67.0,46,44.0,52,11,1798.0,1178600,1
85.0,59,40.0,45,13,1950.0,1443184,1
157.0,68,106.0,74,14,4097.0,2080590,1
152.0,57,83.0,113,26,4006.0,1214679,1
46.0,17,24.0,16,4,1526.0,541194,0
9.0,14,4.0,11,0,542.0,773707,0
149.0,33,32.0,33,4,3889.0,1807099,1
149.0,34,36.0,28,6,3889.0,1807099,1
146.0,50,48.0,59,7,3933.0,2212882,1
66.0,6,6.0,7,0,1743.0,282623,0
66.0,13,17.0,17,3,1743.0,282623,0
42.0,28,25.0,16,4,1128.0,601326,0
108.0,61,33.0,82,3,3006.0,721592,0
148.0,51,34.0,59,1,3964.0,1322918,1
158.0,52,125.0,88,34,4213.0,2333147,1
45.0,22,33.0,25,6,1108.0,541194,0
59.0,44,28.0,51,6,1662.0,547207,0
110.0,86,46.0,60,2,2815.0,863163,0
43.0,9,24.0,12,2,1224.0,144318,0
26.0,6,10.0,21,0,714.0,372822,0
19.0,4,15.0,10,2,294.0,729608,0
57.0,22,13.0,11,0,1460.0,541194,0
141.0,69,59.0,73,11,3619.0,962122,0
148.0,63,50.0,106,5,3799.0,1022255,1
120.0,25,59.0,64,15,3249.0,264583,0
18.0,5,2.0,12,0,666.0,457008,0
157.0,54,90.0,97,6,4071.0,1094414,1
13.0,8,12.0,7,0,336.0,505114,0
70.0,39,27.0,31,1,1896.0,1102431,1
158.0,48,87.0,72,20,4185.0,336742,0
87.0,27,59.0,47,5,2261.0,685512,0
108.0,30,45.0,43,8,2974.0,901990,0
33.0,14,7.0,8,3,924.0,631393,0
137.0,27,47.0,54,7,3718.0,601326,0
24.0,2,5.0,4,2,788.0,182803,0
105.0,85,94.0,81,40,2843.0,2605748,1
143.0,71,97.0,96,29,3765.0,1647635,1
14.0,24,25.0,19,5,303.0,601326,0
110.0,33,37.0,45,12,3228.0,1623582,1
143.0,45,68.0,69,18,3817.0,1611555,1
117.0,41,98.0,64,28,3120.0,1844069,1
149.0,50,57.0,79,13,3980.0,1243887,1
146.0,80,73.0,102,21,3923.0,1611555,1
55.0,24,25.0,20,8,1414.0,1002211,1
130.0,31,68.0,72,16,3567.0,372822,0
73.0,16,14.0,20,2,2034.0,701548,0
73.0,14,22.0,20,0,2034.0,701548,0
137.0,43,79.0,69,9,3606.0,1915545,1
96.0,27,64.0,51,20,2404.0,144318,0
145.0,71,59.0,84,14,3788.0,781724,0
112.0,34,51.0,65,6,3110.0,1791953,1
32.0,1,4.0,12,1,915.0,1683714,1
32.0,3,12.0,9,2,915.0,1683714,1
52.0,18,23.0,34,2,1279.0,1302875,1
89.0,12,32.0,43,4,2465.0,841857,0
14.0,3,4.0,3,1,344.0,384849,0
68.0,18,29.0,26,6,1818.0,1623582,1
82.0,25,45.0,44,7,2254.0,821813,0
159.0,52,88.0,74,36,4284.0,493087,0
152.0,103,112.0,108,30,4019.0,2405306,1
109.0,16,20.0,32,2,2867.0,601326,0
28.0,8,9.0,12,0,1317.0,487074,0
93.0,18,49.0,45,17,2616.0,374025,0
28.0,8,3.0,8,1,897.0,761681,0
53.0,23,17.0,18,3,1495.0,420928,0
107.0,33,35.0,38,10,2881.0,1463227,1
41.0,17,9.0,11,1,1157.0,1022255,1
140.0,29,43.0,87,4,3734.0,2029477,1
26.0,3,7.0,8,0,927.0,793751,0
117.0,54,66.0,64,21,3087.0,360796,0
136.0,38,39.0,74,6,3663.0,144318,0
134.0,83,87.0,99,33,3503.0,3054739,1
115.0,33,50.0,70,12,3140.0,1292852,1
47.0,19,19.0,20,5,1550.0,336742,0
132.0,37,95.0,72,28,3494.0,800967,0
17.0,5,8.0,1,0,378.0,1803980,1
17.0,7,23.0,20,5,378.0,1803980,1
39.0,18,13.0,19,0,1089.0,1082388,1
132.0,54,42.0,62,1,3517.0,1118467,1
131.0,77,53.0,47,7,3453.0,1046308,1
17.0,6,16.0,8,3,403.0,761681,0
31.0,7,9.0,4,0,906.0,1202653,1
152.0,71,90.0,71,27,3991.0,1022255,1
33.0,24,35.0,26,10,866.0,288636,0
14.0,21,25.0,28,7,350.0,517140,0
148.0,37,63.0,71,20,3934.0,998202,0
97.0,16,49.0,46,3,2426.0,706558,0
147.0,67,93.0,78,21,3925.0,1346971,1
53.0,12,19.0,16,7,1344.0,348769,0
160.0,41,74.0,80,4,4213.0,312689,0
95.0,18,41.0,51,9,2573.0,144318,0
53.0,60,45.0,57,12,1351.0,1752436,1
127.0,48,50.0,58,10,3321.0,264583,0
123.0,30,99.0,82,16,3261.0,2829097,1
139.0,33,44.0,63,5,3768.0,1653648,1
77.0,27,34.0,41,11,2146.0,517140,0
56.0,14,18.0,19,2,1576.0,1226706,1
133.0,54,48.0,93,10,3504.0,2285041,1
98.0,27,31.0,35,0,2599.0,877936,0
87.0,37,61.0,40,10,2324.0,1346971,1
78.0,26,21.0,24,0,2114.0,697538,0
47.0,12,25.0,18,8,1250.0,240530,0
40.0,57,76.0,60,12,1070.0,2405306,1
109.0,49,68.0,76,15,2833.0,2405306,1
153.0,34,100.0,67,13,4125.0,1322918,1
129.0,29,91.0,65,23,3363.0,2485482,1
24.0,6,6.0,10,0,683.0,420928,0
24.0,4,1.0,8,0,683.0,420928,0
15.0,0,0.0,0,0,502.0,841857,0
15.0,0,2.0,2,0,502.0,841857,0
61.0,12,31.0,19,2,1714.0,601326,0
141.0,86,52.0,75,10,3751.0,901990,0
19.0,7,1.0,4,0,537.0,252557,0
19.0,0,1.0,0,0,537.0,252557,0
143.0,81,41.0,115,11,3875.0,2886368,1
152.0,38,81.0,70,22,4045.0,1358998,1
42.0,15,17.0,24,1,1147.0,1563449,1
32.0,16,15.0,7,1,817.0,741635,0
33.0,7,8.0,8,1,848.0,1148533,1
94.0,41,69.0,68,10,2566.0,2585704,1
66.0,28,42.0,31,13,1745.0,1022255,1
140.0,99,72.0,146,24,3655.0,3535800,1
61.0,25,21.0,19,2,1429.0,3415535,1
159.0,56,145.0,107,35,4264.0,1094414,1
153.0,54,47.0,70,1,4040.0,240530,0
141.0,85,40.0,75,5,3768.0,1443184,1
43.0,9,15.0,18,1,1057.0,1046308,1
152.0,52,114.0,105,26,4057.0,4319218,1
90.0,64,32.0,27,5,2441.0,1322918,1
122.0,36,38.0,77,1,3390.0,481061,0
66.0,11,13.0,13,0,1722.0,1262786,1
66.0,2,2.0,2,0,1722.0,1262786,1
146.0,69,100.0,83,32,3897.0,4879335,1
119.0,46,77.0,57,21,3209.0,4673166,1
13.0,8,2.0,5,0,297.0,240530,0
70.0,27,42.0,26,7,1887.0,625379,0
152.0,77,91.0,87,10,4161.0,2645837,1
98.0,34,46.0,38,11,2802.0,276610,0
68.0,13,36.0,22,6,1804.0,1346971,1
145.0,29,29.0,41,1,4014.0,300663,0
0.0,10,8.0,2,1,21.0,721592,0
108.0,73,79.0,78,29,2938.0,1242742,1
77.0,28,26.0,56,6,2099.0,1423140,1
78.0,50,52.0,48,14,1957.0,1383051,1
102.0,49,60.0,48,14,2866.0,841857,0
86.0,29,29.0,52,4,2334.0,1683714,1
143.0,50,82.0,92,24,3849.0,733618,0
162.0,20,64.0,75,2,4129.0,1467237,1
119.0,41,55.0,71,13,3251.0,1022255,1
45.0,18,31.0,25,3,1103.0,360796,0
